a	DT
coarseness	JJ
coarseness's	NN
coarsening	VBG
coarsens	NNS
coarser	VBP
coarsest	JJS
coast	NN
coast's	NN
coastal	NN
coasted	VBD
coaster	JJR
coaster's	NN
coasters	NNS
coastguard	VBP
coastguards	NNS
coasting	VBG
coastland	NN
coastline	NN
coastline's	NN
coastlines	NNS
coasts	NNS
coat	VBP
coat's	NN
coated	VBD
coating	VBG
coating's	JJ
coatings	NNS
coatroom	NN
coatrooms	NNS
coats	NNS
coattail	VBP
coattail's	NN
coattails	NNS
coauthor	VBP
coauthor's	NN
coauthored	VBD
coauthoring	VBG
coauthors	NNS
coax	VBP
coaxed	JJ
coaxer	NN
coaxer's	NN
coaxers	NNS
coaxes	VBP
coaxial	JJ
coaxing	NN
coaxingly	RB
cob	JJ
cob's	NN
cobain	NN
cobain's	NN
cobalt	NN
cobalt's	NN
cobb	NN
cobb's	NN
cobber	NN
cobbers	NNS
cobble	JJ
cobble's	NN
cobbled	VBD
cobbler	NN
cobbler's	NN
cobblers	NNS
cobbles	VBP
cobblestone	NN
cobblestone's	NN
cobblestones	NNS
cobbling	VBG
cobnut	NN
cobnuts	NNS
cobol	VBP
cobol's	NN
cobols	NNS
cobra	VBP
cobra's	JJ
cobras	NNS
cobs	VBP
cobweb	JJ
cobweb's	NN
cobwebbed	VBD
cobwebbier	JJR
cobwebbiest	JJS
cobwebby	NN
cobwebs	NN
coca	NN
coca's	NN
cocaine	NN
cocaine's	NN
cocci	NN
coccis	NN
coccus	NN
coccus's	NN
coccyges	NNS
coccyx	VBP
coccyx's	JJ
cochabamba	NN
cochabamba's	NN
cochin	NN
cochin's	NN
cochineal	NN
cochineal's	NN
cochise	NN
cochise's	NN
cochlea	NN
cochlea's	NN
cochleae	NN
cochlear	VBP
cochleas	NNS
cochran	VBP
cochran's	NN
cock	NN
cock's	NN
cockade	NN
cockade's	NN
cockades	NNS
cockamamie	VBP
cockatoo	JJ
cockatoo's	JJ
cockatoos	NN
cockatrice	NN
cockatrice's	NN
cockatrices	NNS
cockchafer	VBP
cockchafers	NNS
cockcrow	VBP
cockcrow's	JJ
cockcrows	NNS
cocked	VBD
cockerel	JJ
cockerel's	NN
cockerels	NNS
cockeyed	VBN
cockfight	JJ
cockfight's	NN
cockfighting	VBG
cockfighting's	JJ
cockfights	NNS
cockier	NN
cockiest	VBP
cockily	RB
cockiness	JJ
cockiness's	NN
cocking	VBG
cockle	JJ
cockle's	NN
cockles	NNS
cockleshell	VBP
cockleshell's	JJ
cockleshells	NNS
cockney	VBP
cockney's	JJ
cockneys	NNS
cockpit	VBP
cockpit's	JJ
cockpits	NNS
cockroach	VBP
cockroach's	JJ
cockroaches	NNS
cocks	NNS
cockscomb	VBP
cockscomb's	JJ
cockscombs	NN
cocksucker	NN
cocksucker's	NN
cocksuckers	NNS
cocksure	VBP
cocktail	NN
cocktail's	NN
cocktails	VBZ
cocky	JJ
coco	NN
coco's	NN
cocoa	NN
cocoa's	NN
cocoas	NN
coconut	NN
coconut's	NN
coconuts	NNS
cocoon	VBP
cocoon's	NN
cocooned	VBD
cocooning	VBG
cocoons	NNS
cocos	VBP
cocteau	NN
cocteau's	NN
cod	NN
cod's	NN
coda	NN
coda's	NN
codas	NN
codded	VBD
codding	VBG
coddle	NN
coddled	VBD
coddles	NNS
coddling	VBG
code	NN
code's	NN
coded	VBD
codeine	NN
codeine's	NN
codependency	NN
codependency's	NN
codependent	NN
codependent's	NN
codependents	NNS
coder	VBP
coder's	NN
coders	NNS
codes	VBP
codex	NN
codex's	NN
codfish	JJ
codfish's	NN
codfishes	NNS
codger	VBP
codger's	JJ
codgers	NNS
codices	NNS
codicil	VBP
codicil's	NN
codicils	NNS
codification	NN
codification's	NN
codifications	NNS
codified	VBD
codifier	JJR
codifier's	NN
codifiers	NNS
codifies	NNS
codify	VBP
codifying	VBG
coding	VBG
codpiece	NN
codpiece's	NN
codpieces	NNS
cods	NNS
codswallop	VBP
cody	NN
cody's	NN
coed	NN
coed's	NN
coeditor	NN
coeds	NNS
coeducation	NN
coeducation's	VBP
coeducational	JJ
coefficient	NN
coefficient's	NN
coefficients	NNS
coelenterate	VBP
coelenterate's	NN
coelenterates	NNS
coequal	JJ
coequal's	NN
coequally	RB
coequals	NNS
coerce	VBP
coerced	JJ
coercer	NN
coercer's	NN
coercers	NNS
coerces	NNS
coercing	VBG
coercion	NN
coercion's	NN
coercive	JJ
coeval	NN
coeval's	NN
coevally	RB
coevals	NNS
coexist	VBP
coexisted	VBN
coexistence	NN
coexistence's	NN
coexistent	NN
coexisting	VBG
coexists	NNS
coextensive	JJ
coffee	NN
coffee's	NNS
coffeecake	VBP
coffeecake's	JJ
coffeecakes	NNS
coffeehouse	VBP
coffeehouse's	JJ
coffeehouses	NNS
coffeemaker	VBP
coffeemaker's	JJ
coffeemakers	NNS
coffeepot	VBP
coffeepot's	JJ
coffeepots	NNS
coffees	NNS
coffer	VBP
coffer's	JJ
cofferdam	NN
cofferdam's	NN
cofferdams	NN
coffers	NNS
coffey	VBP
coffey's	JJ
coffin	NN
coffin's	NN
coffined	VBD
coffining	VBG
coffins	NNS
cofounder	VBP
cog	NN
cog's	NN
cogency	NN
cogency's	NN
cogent	NN
cogently	RB
cogitate	VBP
cogitated	VBN
cogitates	NNS
cogitating	VBG
cogitation	NN
cogitation's	NN
cogitations	NNS
cogitative	VBP
cogitator	NN
cogitator's	NN
cogitators	NNS
cognac	VBP
cognac's	JJ
cognacs	NN
cognate	NN
cognate's	NN
cognates	VBZ
cognition	NN
cognition's	NN
cognitional	JJ
cognitive	NN
cognitively	RB
cognizable	JJ
cognizance	NN
cognizance's	NN
cognizant	JJ
cognomen	NNS
cognomen's	VBP
cognomens	NNS
cognoscente	VBP
cognoscente's	JJ
cognoscenti	NNS
cogs	NNS
cogwheel	VBP
cogwheel's	JJ
cogwheels	NNS
cohabit	VBP
cohabitant	JJ
cohabitant's	NN
cohabitants	NNS
cohabitation	NN
cohabitation's	NN
cohabited	VBD
cohabiting	VBG
cohabits	NNS
cohan	VBP
cohan's	VB
coheir	JJ
coheir's	NN
coheirs	NNS
cohen	VBP
cohen's	NN
cohere	RB
cohered	VBN
coherence	NN
coherence's	NN
coherency	NN
coherency's	NN
coherent	NN
coherently	RB
coheres	VBZ
cohering	VBG
cohesion	NN
cohesion's	NN
cohesive	JJ
cohesively	RB
cohesiveness	JJ
cohesiveness's	NN
coho	NN
coho's	NN
cohort	NN
cohort's	NN
cohorts	NNS
cohos	VBP
coif	JJ
coif's	NN
coiffed	VBD
coiffing	VBG
coiffure	NN
coiffure's	NN
coiffured	VBD
coiffures	NNS
coiffuring	VBG
coifs	JJ
coil	NN
coil's	NN
coiled	VBD
coiling	VBG
coils	NNS
coimbatore	RB
coimbatore's	VBP
coin	NNS
coin's	JJ
coinage	NN
coinage's	NN
coinages	NNS
coincide	VBP
coincided	VBN
coincidence	NN
coincidence's	NN
coincidences	NNS
coincident	JJ
coincidental	JJ
coincidentally	RB
coincides	VBZ
coinciding	NN
coined	VBD
coiner	JJR
coiner's	JJ
coiners	NNS
coining	VBG
coins	NNS
coinsurance	NN
coinsurance's	NN
cointreau	NN
cointreau's	NN
coir	NN
coital	JJ
coitus	NN
coitus's	NN
coke	VBD
coke's	NN
coked	VBD
cokes	NNS
coking	VBG
col	NN
col's	NN
cola	NN
cola's	NN
colander	NN
colander's	NN
colanders	NNS
colas	VBP
colbert	JJ
colbert's	NN
colby	NN
colby's	NN
cold	JJ
cold's	NN
coldblooded	VBD
colder	NN
coldest	NN
coldly	RB
coldness	JJ
coldness's	NN
colds	NNS
cole	VBP
cole's	NN
coleen	NN
coleen's	NN
coleman	NN
coleman's	NN
coleridge	NN
coleridge's	NN
coleslaw	NN
coleslaw's	NN
colette	NN
colette's	NN
coleus	NN
coleus's	NN
coleuses	VBZ
coley	JJ
coleys	NNS
colfax	VBP
colfax's	JJ
colgate	NN
colgate's	NNS
colic	JJ
colic's	VBP
colicky	JJ
colin	NN
colin's	NN
coliseum	NN
coliseum's	NN
coliseums	NNS
colitis	VBP
colitis's	JJ
coll	NN
collaborate	NN
collaborated	VBD
collaborates	NNS
collaborating	VBG
collaboration	NN
collaboration's	NNS
collaborationist	VBP
collaborations	NNS
collaborative	VBP
collaboratively	RB
collaborator	JJ
collaborator's	NN
collaborators	NNS
collage	VBP
collage's	JJ
collagen	NN
collages	NNS
collapse	VBP
collapse's	NNS
collapsed	VBD
collapses	NNS
collapsible	JJ
collapsing	VBG
collar	JJ
collar's	NN
collarbone	NN
collarbone's	NN
collarbones	NNS
collard	VBP
collard's	NN
collards	NNS
collared	VBD
collaring	VBG
collarless	NN
collars	NNS
collate	VBP
collated	VBN
collateral	JJ
collateral's	NN
collateralize	VB
collaterally	RB
collates	VBZ
collating	VBG
collation	NN
collation's	NN
collations	NNS
collator	VBP
collator's	JJ
collators	NNS
colleague	VBP
colleague's	JJ
colleagues	NNS
collect	VBP
collect's	NN
collected	VBN
collectedly	RB
collectible	JJ
collectible's	NN
collectibles	NNS
collecting	VBG
collection	NN
collection's	NN
collections	NNS
collective	VBP
collective's	NN
collectively	RB
collectives	VBZ
collectivism	NN
collectivism's	JJ
collectivist	NN
collectivist's	NN
collectivists	NNS
collectivization	VBP
collectivization's	JJ
collectivize	VB
collectivized	JJ
collectivizes	NNS
collectivizing	VBG
collector	NN
collector's	NN
collectors	NNS
collects	VBZ
colleen	JJ
colleen's	NN
colleens	NNS
college	NN
college's	NN
colleges	NNS
collegiality	NN
collegiality's	VBP
collegian	JJ
collegian's	NN
collegians	NNS
collegiate	VBP
collide	NN
collided	VBD
collides	NNS
colliding	VBG
collie	NN
collie's	NN
collier	NN
collier's	NN
collieries	NNS
colliers	NNS
colliery	VBP
colliery's	JJ
collies	NNS
collin	VBP
collin's	NN
collins	NNS
collins's	VBP
collision	NN
collision's	NN
collisions	NNS
collocate	VBP
collocate's	NN
collocated	VBN
collocates	NNS
collocating	VBG
collocation	NN
collocation's	NN
collocations	NNS
colloid	VBP
colloid's	NN
colloidal	NN
colloids	NNS
colloq	VBP
colloquial	JJ
colloquialism	NN
colloquialism's	NN
colloquialisms	NNS
colloquially	RB
colloquies	NNS
colloquium	VBP
colloquium's	NN
colloquiums	NNS
colloquy	VBP
colloquy's	JJ
collude	NN
colluded	VBD
colludes	NNS
colluding	VBG
collusion	NN
collusion's	NN
collusive	JJ
colo	NN
cologne	NN
cologne's	NN
colognes	NNS
colombia	VBP
colombia's	JJ
colombian	JJ
colombian's	NN
colombians	NNS
colombo	VBP
colombo's	JJ
colon	NN
colon's	NN
colonel	NN
colonel's	NN
colonelcy	NN
colonelcy's	NN
colonels	NNS
colones	VBP
colonial	JJ
colonial's	NN
colonialism	NN
colonialism's	JJ
colonialist	NN
colonialist's	NN
colonialists	NNS
colonially	RB
colonials	NNS
colonies	NNS
colonist	VBP
colonist's	JJ
colonists	NNS
colonization	NN
colonization's	NN
colonize	VB
colonized	JJ
colonizer	NN
colonizer's	NN
colonizers	NNS
colonizes	VBP
colonizing	VBG
colonnade	NN
colonnade's	NN
colonnaded	VBD
colonnades	NNS
colonoscopies	NNS
colonoscopy	VBP
colonoscopy's	JJ
colons	NNS
colony	VBP
colony's	JJ
colophon	NN
colophon's	NN
colophons	NNS
color	VBP
color's	JJ
coloradan	NN
coloradan's	NN
coloradans	NNS
colorado	VBP
colorado's	JJ
coloradoan	NN
colorant	NN
colorant's	NN
colorants	NNS
coloration	NN
coloration's	NN
coloratura	NN
coloratura's	NN
coloraturas	NNS
colorblind	VBP
colorblindness	JJ
colorblindness's	NN
colored	VBD
colored's	JJ
coloreds	NNS
colorfast	VBP
colorfastness	JJ
colorfastness's	NN
colorful	NN
colorfully	RB
colorfulness	JJ
colorfulness's	NN
coloring	VBG
coloring's	JJ
colorist	NN
colorists	NNS
colorization	VBP
colorization's	JJ
colorize	VB
colorized	JJ
colorizes	NNS
colorizing	VBG
colorless	NN
colorlessly	RB
colorlessness	JJ
colorlessness's	NN
colors	NNS
colorway	VBP
colorways	NNS
colossal	VBP
colossally	RB
colosseum	JJ
colosseum's	NN
colossi	NN
colossus	NN
colossus's	NN
colostomies	NNS
colostomy	VBP
colostomy's	JJ
colostrum	NN
colostrum's	VB
colour	JJ
colour's	NN
colourant	NN
colourant's	NN
colourants	NNS
colourblind	VBP
colourblindness	JJ
colourblindness's	NN
coloured	VBD
coloured's	JJ
coloureds	NNS
colourfast	VBP
colourfastness	JJ
colourfastness's	NN
colourful	NN
colourfully	RB
colourfulness	JJ
colourfulness's	NN
colouring	VBG
colouring's	JJ
colourist	NN
colourists	NNS
colourization	VBP
colourization's	JJ
colourize	VB
colourized	JJ
colourizes	NNS
colourizing	VBG
colourless	NN
colourlessly	RB
colourlessness	JJ
colourlessness's	NN
colours	NNS
colourway	VBP
colourways	NNS
cols	NNS
colt	VBP
colt's	JJ
coltish	JJ
coltrane	NN
coltrane's	NN
colts	NNS
columbia	VBP
columbia's	JJ
columbine	NN
columbine's	NN
columbines	NNS
columbus	VBP
columbus's	JJ
column	NN
column's	NN
columnar	NN
columned	VBD
columnist	JJ
columnist's	NN
columnists	NNS
columns	VBP
com	JJ
coma	NN
coma's	NN
comaker	NN
comaker's	NN
comakers	NNS
comanche	VBP
comanche's	JJ
comanches	NNS
comas	VBP
comatose	JJ
comb	NN
comb's	NN
combat	NN
combat's	NN
combatant	NN
combatant's	NN
combatants	NNS
combated	VBD
combating	VBG
combative	JJ
combativeness	NN
combativeness's	NN
combats	NNS
combed	VBD
comber	JJ
comber's	NN
combers	NNS
combination	VBP
combination's	JJ
combinations	NNS
combine	VBP
combine's	NN
combined	VBN
combiner	NN
combiner's	NN
combiners	NNS
combines	VBP
combing	VBG
combings	NNS
combings's	VBP
combining	VBG
combo	NN
combo's	NN
combos	NN
combs	NN
combs's	NN
combustibility	NN
combustibility's	NN
combustible	JJ
combustible's	NN
combustibles	NNS
combustion	VBP
combustion's	JJ
combustive	JJ
comdr	NN
come	VBP
come's	NN
comeback	NN
comeback's	NN
comebacks	NNS
comedian	JJ
comedian's	NN
comedians	NNS
comedic	JJ
comedienne	NN
comedienne's	NN
comediennes	NNS
comedies	NNS
comedown	VBP
comedown's	JJ
comedowns	NNS
comedy	NN
comedy's	NN
comelier	NN
comeliest	JJS
comeliness	NN
comeliness's	NN
comely	RB
comer	JJ
comer's	NN
comers	NNS
comes	VBZ
comestible	JJ
comestible's	JJ
comestibles	NNS
comet	VBP
comet's	JJ
comets	NNS
comeuppance	VBP
comeuppance's	JJ
comeuppances	NNS
comfier	JJR
comfiest	JJS
comfit	NN
comfit's	NN
comfits	NNS
comfort	NN
comfort's	NN
comfortable	JJ
comfortableness	NN
comfortableness's	NN
comfortably	RB
comforted	VBD
comforter	NN
comforter's	NN
comforters	NNS
comforting	VBG
comfortingly	RB
comfortless	JJ
comforts	NNS
comfy	VBP
comic	JJ
comic's	NN
comical	JJ
comicality	NN
comicality's	NN
comically	RB
comics	NNS
coming	VBG
coming's	JJ
comings	NNS
comintern	JJ
comintern's	JJ
comity	NN
comity's	NN
comm	NN
comma	NN
comma's	NN
command	NN
command's	NN
commandant	JJ
commandant's	NN
commandants	NNS
commanded	VBD
commandeer	NN
commandeered	VBD
commandeering	VBG
commandeers	NNS
commander	VBP
commander's	NN
commanders	NNS
commanding	VBG
commandment	NN
commandment's	NN
commandments	NNS
commando	VBP
commando's	JJ
commandos	NN
commands	VBZ
commas	JJ
commemorate	NN
commemorated	VBN
commemorates	NNS
commemorating	VBG
commemoration	NN
commemoration's	NN
commemorations	NNS
commemorative	VBP
commemorator	NN
commemorator's	NN
commemorators	NNS
commence	NN
commenced	VBD
commencement	JJ
commencement's	NN
commencements	NNS
commences	NNS
commencing	VBG
commend	NN
commendable	JJ
commendably	RB
commendation	NN
commendation's	NN
commendations	NNS
commendatory	NN
commended	VBD
commending	VBG
commends	NNS
commensurable	JJ
commensurate	NN
commensurately	RB
comment	JJ
comment's	NN
commentaries	NNS
commentary	VBP
commentary's	NN
commentate	NN
commentated	VBN
commentates	NNS
commentating	VBG
commentator	NN
commentator's	NN
commentators	NNS
commented	VBD
commenting	VBG
comments	NNS
commerce	NN
commerce's	VBP
commercial	JJ
commercial's	NN
commercialism	NN
commercialism's	JJ
commercialization	NN
commercialization's	NN
commercialize	VB
commercialized	JJ
commercializes	NNS
commercializing	VBG
commercially	RB
commercials	NNS
commie	VBP
commie's	JJ
commies	NNS
commingle	VBP
commingled	VBN
commingles	NNS
commingling	VBG
commiserate	NN
commiserated	VBN
commiserates	NNS
commiserating	VBG
commiseration	NN
commiseration's	NN
commiserations	NNS
commiserative	VBP
commissar	NN
commissar's	NN
commissariat	NN
commissariat's	NN
commissariats	NNS
commissaries	VBP
commissars	NNS
commissary	JJ
commissary's	JJ
commission	NN
commission's	NN
commissionaire	NN
commissionaires	NNS
commissioned	VBD
commissioner	NN
commissioner's	NN
commissioners	NNS
commissioning	VBG
commissions	NNS
commit	VBP
commitment	JJ
commitment's	NN
commitments	NNS
commits	VBZ
committal	JJ
committal's	NN
committals	NNS
committed	VBD
committee	NN
committee's	NN
committeeman	NN
committeeman's	VBZ
committeemen	NNS
committees	NNS
committeewoman	VBP
committeewoman's	JJ
committeewomen	NNS
committer	VBP
committers	NNS
committing	VBG
commode	NN
commode's	NN
commodes	NNS
commodification	VBP
commodious	JJ
commodiously	RB
commodities	NNS
commodity	NN
commodity's	VBP
commodore	NN
commodore's	NN
commodores	VBZ
common	JJ
common's	NN
commonalities	NNS
commonality	NN
commonalty	NN
commonalty's	NN
commoner	NN
commoner's	NN
commoners	NNS
commonest	VBP
commonly	RB
commonness	JJ
commonness's	NN
commonplace	NN
commonplace's	NN
commonplaces	NNS
commons	NNS
commons's	VBP
commonsense	JJ
commonweal	NN
commonweal's	NN
commonwealth	NN
commonwealth's	NN
commonwealths	NNS
commotion	NN
commotion's	NN
commotions	NNS
communal	VBP
communally	RB
commune	JJ
commune's	NN
communed	VBD
communes	NNS
communicability	NN
communicability's	VBP
communicable	JJ
communicably	RB
communicant	JJ
communicant's	NN
communicants	NNS
communicate	VBP
communicated	VBN
communicates	NNS
communicating	VBG
communication	NN
communication's	NN
communications	NNS
communicative	VBP
communicator	NN
communicator's	NN
communicators	NNS
communing	VBG
communion	NN
communion's	NN
communions	NNS
communique	VBP
communique's	JJ
communiques	NNS
communism	NN
communism's	VBP
communist	JJ
communist's	NN
communistic	JJ
communists	NNS
communities	NNS
community	NN
community's	VBP
commutable	JJ
commutation	NN
commutation's	NN
commutations	NNS
commutative	VBP
commutator	NN
commutator's	NN
commutators	NNS
commute	VBP
commute's	NN
commuted	VBN
commuter	NN
commuter's	NN
commuters	NNS
commutes	VBZ
commuting	VBG
como	NN
como's	NN
comoran	NN
comoros	NNS
comoros's	VBP
comp	JJ
comp's	NN
compact	JJ
compact's	NN
compacted	VBD
compacter	JJR
compactest	JJS
compacting	VBG
compaction	NN
compactly	RB
compactness	JJ
compactness's	NN
compactor	NN
compactor's	NN
compactors	NNS
compacts	VBZ
companies	NNS
companion	NN
companion's	VBP
companionable	JJ
companionably	NN
companions	NNS
companionship	VBP
companionship's	JJ
companionway	NN
companionway's	NN
companionways	NNS
company	NN
company's	VBP
compaq	NN
compaq's	NN
comparability	NN
comparability's	NN
comparable	JJ
comparably	RB
comparative	JJ
comparative's	NN
comparatively	RB
comparatives	VBZ
compare	JJ
compare's	NNS
compared	VBN
compares	VBZ
comparing	VBG
comparison	NN
comparison's	NN
comparisons	NNS
compartment	VBP
compartment's	JJ
compartmental	JJ
compartmentalization	NN
compartmentalization's	NN
compartmentalize	VB
compartmentalized	JJ
compartmentalizes	NNS
compartmentalizing	VBG
compartments	NNS
compass	NN
compass's	NN
compassed	VBD
compasses	NNS
compassing	VBG
compassion	NN
compassion's	NN
compassionate	NN
compassionately	RB
compatibility	NN
compatibility's	NN
compatible	JJ
compatible's	NN
compatibles	NNS
compatibly	RB
compatriot	VBP
compatriot's	JJ
compatriots	NNS
comped	VBD
compeer	NN
compeer's	NN
compeers	NNS
compel	VBP
compelled	VBN
compelling	NN
compellingly	RB
compels	VBZ
compendious	JJ
compendium	NN
compendium's	NN
compendiums	NNS
compensate	VBP
compensated	VBN
compensates	NNS
compensating	VBG
compensation	NN
compensation's	NN
compensations	NNS
compensatory	NN
compere	RB
compered	VBN
comperes	NNS
compering	VBG
compete	NN
competed	VBD
competence	NN
competence's	NN
competences	NNS
competencies	NNS
competency	VBP
competency's	JJ
competent	NN
competently	RB
competes	VBZ
competing	VBG
competition	NN
competition's	NN
competitions	NNS
competitive	JJ
competitively	RB
competitiveness	JJ
competitiveness's	NN
competitor	NN
competitor's	NN
competitors	NNS
compilation	VBP
compilation's	JJ
compilations	NNS
compile	VBP
compiled	VBN
compiler	NN
compiler's	NN
compilers	NNS
compiles	VBP
compiling	VBG
comping	VBG
complacence	NN
complacence's	NN
complacency	NN
complacency's	NN
complacent	NN
complacently	RB
complain	VBP
complainant	JJ
complainant's	NN
complainants	NNS
complained	VBD
complainer	JJR
complainer's	JJ
complainers	NNS
complaining	VBG
complains	NNS
complaint	NN
complaint's	NN
complaints	NNS
complaisance	NN
complaisance's	NN
complaisant	NN
complaisantly	RB
complected	VBD
complement	JJ
complement's	NN
complementary	NN
complemented	VBD
complementing	VBG
complements	NNS
complete	JJ
completed	VBD
completely	RB
completeness	JJ
completeness's	NN
completer	NN
completes	VBZ
completest	VBP
completing	VBG
completion	NN
completion's	JJ
completions	NNS
complex	JJ
complex's	NN
complexes	NNS
complexion	NN
complexion's	VBP
complexional	JJ
complexioned	JJ
complexions	NNS
complexities	NNS
complexity	NN
complexity's	VBP
complexly	NN
compliance	NN
compliance's	NN
compliant	NN
compliantly	RB
complicate	VBP
complicated	VBN
complicatedly	RB
complicates	VBZ
complicating	VBG
complication	NN
complication's	NN
complications	NNS
complicit	VBP
complicity	NN
complicity's	NN
complied	VBD
complies	NNS
compliment	JJ
compliment's	NN
complimentary	NN
complimented	VBD
complimenting	VBG
compliments	NNS
comply	VB
complying	VBG
compo	JJ
component	NN
component's	NN
components	NNS
comport	NN
comported	VBD
comporting	VBG
comportment	NN
comportment's	NN
comports	NNS
compos	VBP
compose	VB
composed	VBN
composedly	RB
composer	RBR
composer's	JJ
composers	NNS
composes	NNS
composing	VBG
composite	JJ
composite's	NN
compositely	RB
composites	VBZ
composition	NN
composition's	NN
compositions	NNS
compositor	VBP
compositor's	JJ
compositors	NNS
compost	VBP
compost's	NN
composted	VBD
composting	VBG
composts	NNS
composure	NN
composure's	VBP
compote	NN
compote's	NN
compotes	VBZ
compound	JJ
compound's	NN
compoundable	JJ
compounded	VBD
compounding	VBG
compounds	NNS
comprehend	VBP
comprehended	VBD
comprehending	VBG
comprehends	NNS
comprehensibility	NN
comprehensibility's	VBP
comprehensible	JJ
comprehensibly	RB
comprehension	NN
comprehension's	NN
comprehensions	NNS
comprehensive	VBP
comprehensive's	NN
comprehensively	RB
comprehensiveness	JJ
comprehensiveness's	NN
comprehensives	NNS
compress	VBP
compress's	NN
compressed	VBN
compresses	NNS
compressible	JJ
compressing	VBG
compression	NN
compression's	NN
compressor	NN
compressor's	NN
compressors	NNS
comprise	VBP
comprised	VBN
comprises	NNS
comprising	VBG
compromise	NN
compromise's	NN
compromised	VBD
compromises	NNS
compromising	VBG
comps	NNS
compton	NN
compton's	VBP
comptroller	NN
comptroller's	NN
comptrollers	NNS
compulsion	VBP
compulsion's	JJ
compulsions	NNS
compulsive	VBP
compulsively	RB
compulsiveness	JJ
compulsiveness's	NN
compulsories	NNS
compulsorily	RB
compulsory	JJ
compulsory's	NN
compunction	NN
compunction's	NN
compunctions	NNS
compuserve	VBP
compuserve's	JJ
computation	NN
computation's	VBD
computational	JJ
computationally	RB
computations	NNS
compute	VBP
computed	VBN
computer	NN
computer's	NN
computerate	NN
computerization	NN
computerization's	NN
computerize	VB
computerized	JJ
computerizes	NNS
computerizing	VBG
computers	NNS
computes	NNS
computing	VBG
computing's	NN
comrade	NN
comrade's	NN
comradely	RB
comrades	VBZ
comradeship	NN
comradeship's	NN
comte	NN
comte's	NN
con	NN
con's	NN
conakry	NN
conakry's	NN
conan	NN
conan's	NN
concatenate	NN
concatenated	VBN
concatenates	NNS
concatenating	VBG
concatenation	NN
concatenation's	NN
concatenations	NNS
concave	VBP
concavely	RB
concaveness	JJ
concaveness's	NN
concavities	NNS
concavity	NN
concavity's	VBP
conceal	NN
concealable	JJ
concealed	VBN
concealer	NN
concealer's	NN
concealers	NNS
concealing	VBG
concealment	NN
concealment's	NN
conceals	NNS
concede	VBP
conceded	VBN
concedes	NNS
conceding	VBG
conceit	NN
conceit's	NN
conceited	VBD
conceitedly	RB
conceitedness	JJ
conceitedness's	NN
conceits	NNS
conceivable	JJ
conceivably	RB
conceive	VBP
conceived	VBN
conceives	NNS
conceiving	VBG
concentrate	NN
concentrate's	NN
concentrated	VBD
concentrates	NNS
concentrating	VBG
concentration	NN
concentration's	NN
concentrations	NNS
concentric	VBP
concentrically	RB
concepcion	JJ
concepcion's	NN
concept	NN
concept's	NN
conception	NN
conception's	VBD
conceptional	JJ
conceptions	NNS
concepts	VBP
conceptual	JJ
conceptualization	NN
conceptualization's	NN
conceptualizations	NNS
conceptualize	VBP
conceptualized	VBN
conceptualizes	NNS
conceptualizing	VBG
conceptually	RB
concern	NN
concern's	NN
concerned	VBD
concernedly	RB
concerning	VBG
concerns	NNS
concert	JJ
concert's	NN
concerted	VBD
concertedly	RB
concertgoer	JJ
concertgoers	NNS
concertina	VBP
concertina's	JJ
concertinaed	NN
concertinaing	VBG
concertinas	NNS
concerting	VBG
concertize	VB
concertized	JJ
concertizes	NNS
concertizing	VBG
concertmaster	NN
concertmaster's	NN
concertmasters	NNS
concerto	VBP
concerto's	JJ
concertos	NNS
concerts	VBZ
concession	NN
concession's	NN
concessionaire	NN
concessionaire's	NN
concessionaires	VBZ
concessional	JJ
concessionary	JJ
concessions	NNS
concetta	VBP
concetta's	JJ
conch	NN
conch's	NN
conchie	NN
conchies	NNS
conchs	VBP
concierge	NN
concierge's	NN
concierges	NNS
conciliate	VBP
conciliated	VBN
conciliates	NNS
conciliating	VBG
conciliation	NN
conciliation's	NN
conciliator	NN
conciliator's	NN
conciliators	NNS
conciliatory	JJ
concise	NN
concisely	RB
conciseness	JJ
conciseness's	NN
conciser	NN
concisest	JJS
concision	NN
concision's	NN
conclave	VBP
conclave's	NN
conclaves	NNS
conclude	VBP
concluded	VBN
concludes	NNS
concluding	VBG
conclusion	NN
conclusion's	NN
conclusions	NNS
conclusive	VBP
conclusively	RB
conclusiveness	JJ
conclusiveness's	NN
concoct	NN
concocted	VBD
concocting	VBG
concoction	NN
concoction's	NN
concoctions	NNS
concocts	VBZ
concomitant	JJ
concomitant's	NN
concomitantly	RB
concomitants	VBZ
concord	JJ
concord's	NN
concordance	NN
concordance's	NN
concordances	NNS
concordant	VBP
concordat	JJ
concordat's	NN
concordats	NNS
concorde	VBP
concorde's	JJ
concords	NNS
concourse	NN
concourse's	NN
concourses	VBZ
concrete	JJ
concrete's	NN
concreted	VBD
concretely	RB
concreteness	JJ
concreteness's	NN
concretes	NNS
concreting	VBG
concretion	NN
concretion's	NN
concretions	NNS
concubinage	VBP
concubinage's	JJ
concubine	NN
concubine's	NN
concubines	NNS
concupiscence	NN
concupiscence's	NN
concupiscent	NN
concur	NN
concurred	VBD
concurrence	NN
concurrence's	NN
concurrences	NNS
concurrency	NN
concurrent	NN
concurrently	RB
concurring	VBG
concurs	NNS
concuss	VBP
concussed	VBN
concusses	NNS
concussing	VBG
concussion	NN
concussion's	NN
concussions	NNS
concussive	VBP
condemn	JJ
condemnation	NN
condemnation's	NN
condemnations	NNS
